hospid,hospitalname,st
656,"Florida Hospital Apopka","FL"
657,"HealthSouth Treasure Coast Rehabilitaion Hospital","FL"
658,"Wayne Hospital","OH"
659,"Somerset Hospital","PA"
660,"Bryn Mawr Hospital","PA"
661,"Ashe Memorial Hospital","NC"
662,"San Joaquin Valley Rehabilitation Hospital","CA"
663,"Virginia Hospital Center","VA"
664,"South Florida State Hospital","FL"
665,"HealthSouth Rehabilitation Hospital of Las Vegas","NV"
666,"Lincoln Hospital","WA"
667,"Orthopedic Hospital","OK"
668,"Florida Hospital Celebration Health","FL"
669,"Auburn Community Hospital","NY"
670,"Covenant Hospital Levelland","TX"
671,"Montclair Hospital Medical Center","CA"
672,"Evanston Hospital","IL"
673,"Fairview Hospital","OH"
674,"The Chester County Hospital","PA"
675,"Norton Suburban Hospital","KY"
676,"Mission Hospitals - Saint Joseph Campus","NC"
677,"John Peter Smith Hospital","TX"
678,"Kennedy Memorial Hospitals-University Medical Center - Stratford","NJ"
679,"Joe DiMaggio Children's Hospital","FL"
680,"Spencer Hospital","IA"
681,"Baptist Hospital Northeast","KY"
682,"East Central Regional Hospital - Gracewood Campus","GA"
683,"Mission Hospital Mission Viejo","CA"
684,"Helen Newberry Joy Hospital and Healthcare Center","MI"
685,"Children's Memorial Hermann Hospital","TX"
686,"Riveredge Hospital","IL"
687,"Children's Hospital & Research Center Oakland","CA"
688,"Jordan Hospital","MA"
689,"Rome Memorial Hospital","NY"
690,"Oklahoma Surgical Hospital","OK"
691,"Ingalls Memorial Hospital","IL"
692,"Refugio County Memorial Hospital","TX"
693,"Kindred Hospital - West Jefferson","LA"
694,"Saint Mary's Hospital","AZ"
695,"Lovelace Women's Hospital","NM"
696,"Allegheny Valley Hospital","PA"
697,"Kosair Children's Hospital","KY"
698,"Perry County General Hospital","MS"
699,"Wayne General Hospital","MS"
700,"William Bee Ririe Hospital","NV"
701,"Osborne County Memorial Hospital","KS"
702,"Cottage Rehabilitation Hospital","CA"
703,"Hospital Del Maestro","PR"
704,"Franklin Woods Community Hospital","TN"
705,"Aurora Vista Del Mar Hospital","CA"
706,"Harmon Memorial Hospital","OK"
707,"Lander Regional Hospital","WY"
708,"Shriners Hospitals for Children - Honolulu","HI"
709,"Regions Hospital","MN"
710,"HIMA-San Pablo Hospital-Fajardo","PR"
711,"Sioux San Indian Hospital","SD"
712,"Pleasant Valley Hospital","WV"
713,"Northern Idaho Advanced Care Hospital","ID"
714,"Saint Theresa Specialty Hospital - East Jefferson Campus","LA"
715,"United Medical Rehabilitation Hospital","LA"
716,"Nexus Specialty Hospital - Shenandoah Campus","TX"
717,"Kilmichael Hospital","MS"
718,"Homestead Hospital","FL"
719,"Saint Agnes Hospital","MD"
720,"Georgiana Hospital","AL"
721,"Alton Memorial Hospital","IL"
722,"Bryce Hospital","AL"
723,"South Sunflower County Hospital","MS"
724,"East Morgan County Hospital","CO"
725,"Select Specialty Hospital - Jackson","MS"
726,"Saint Mary's Hospital for Children","NY"
727,"HealthSouth Rehabilitation Hospital of Fayetteville","AR"
728,"Adair County Memorial Hospital","IA"
729,"Community Behavioral Health Hospital of Wadena","MN"
730,"Rehoboth McKinley Christian Health Care Services Hospital","NM"
731,"Spectrum Health Special Care Hospital","MI"
732,"Spalding Rehabilitation Hospital","CO"
733,"Wilmington Hospital","DE"
734,"Regency Hospital of Covington","LA"
735,"Central Texas Rehabilitation Hospital","TX"
736,"Fayetteville City Hospital and Geriatric Center","AR"
737,"Candler County Hospital","GA"
738,"Martin Army Community Hospital","GA"
739,"CHRISTUS Spohn Hospital Corpus Christi - South","TX"
740,"Audie L. Murphy Memorial VA Hospital","TX"
741,"The Memorial Hospital","NH"
742,"Scott & White Hospital - Brenham","TX"
743,"Clarke County Hospital","IA"
744,"Chestatee Regional Hospital","GA"
745,"Cornerstone Hospital of Southeast Arizona","AZ"
746,"Dominican Hospital","CA"
747,"Pig;tt Community Hospital","AR"
748,"Mount Carmel New Albany Surgical Hospital","OH"
749,"Sturgis Regional Hospital","SD"
750,"Riverside Community Hospital","CA"
751,"Crane Memorial Hospital","TX"
752,"Sacred Heart Hospital","WI"
753,"James B. Haggin Memorial Hospital","KY"
754,"Hollywood Community Hospital","CA"
755,"Oakwood Hospital and Medical Center","MI"
756,"Magee Rehabilitation Hospital","PA"
757,"Stoughton Hospital","WI"
758,"Indiana University Health University Hospital","IN"
759,"University Hospitals MacDonald Women's Hospital","OH"
760,"Peak Psychiatric Hospital","NM"
761,"Abraham Lincoln Memorial Hospital","IL"
762,"LifeCare Hospitals of Pittsburgh - Main Campus","PA"
763,"The King's Daughters Hospital","MS"
764,"Kindred Hospital - Baytown","TX"
765,"Community Hospital","AL"
766,"Taylorville Memorial Hospital","IL"
767,"Riverton Hospital","UT"
768,"Lakeview Hospital","UT"
769,"Melissa Memorial Hospital","CO"
770,"Grace Cottage Hospital","VT"
771,"Florala Memorial Hospital","AL"
772,"East Mountain Hospital","NJ"
773,"CHRISTUS Dubuis Hospital of Port Arthur","TX"
774,"Georgia Regional Hospital at Savannah","GA"
775,"Parker Adventist Hospital","CO"
776,"Select Specialty Hospital - Orlando (South Campus)","FL"
777,"Cozby-Germany Hospital","TX"
778,"Mercy Saint Anne Hospital","OH"
779,"Sac-Osage Hospital","MO"
780,"The NeuroMedical Center Rehabilitation Hospital","LA"
781,"Kindred Hospital - Tarrant County (Arlington Campus)","TX"
782,"New England Sinai Hospital and Rehabilitation Center","MA"
783,"Avera Heart Hospital of South Dakota","SD"
784,"Prairie du Chien Memorial Hospital","WI"
785,"Kaiser Moreno Valley Community Hospital","CA"
786,"Hot Springs Rehabilitation Center Hospital","AR"
787,"Winnie Palmer Hospital for Women & Babies","FL"
788,"Charlton Memorial Hospital","MA"
789,"Southern Hills Hospital & Medical Center","NV"
790,"Hasbro Children's Hospital","RI"
791,"Centra Lynchburg General Hospital","VA"
792,"Texas County Memorial Hospital","MO"
793,"Southern Coos Hospital & Health Center","OR"
794,"Saint Joseph Hospital","CA"
795,"Pomerado Hospital","CA"
796,"Neshoba County General Hospital","MS"
797,"Saint Luke's Hospital at the Vintage","TX"
798,"Blue Hill Memorial Hospital","ME"
799,"Kindred Hospital - East Houston","TX"
800,"College Hospital Cerritos","CA"
801,"John D. Archbold Memorial Hospital","GA"
802,"Delaware County Memorial Hospital","PA"
803,"Concho County Hospital","TX"
804,"The Rehabilitation Hospital of Southwest Virginia","VA"
805,"Samaritan Hospital","MO"
806,"Scripps Mercy Hospital","CA"
807,"Methodist Behavioral Hospital","AR"
808,"Chambers Memorial Hospital","AR"
809,"Drumright Regional Hospital","OK"
810,"Coshocton County Memorial Hospital","OH"
811,"Summa Western Reserve Hospital","OH"
812,"Mimbres Memorial Hospital","NM"
813,"Sweeny Community Hospital","TX"
814,"Tahoe Pacific Hospitals - West","NV"
815,"Warren Memorial Hospital","VA"
816,"Hospital Metropolitano San German","PR"
817,"RiverCrest Specialty Hospital","IN"
818,"Watertown Memorial Hospital","WI"
819,"Lansdale Hospital","PA"
820,"Kindred Hospital - Las Vegas -Sahara","NV"
821,"Samaritan Hospital","OH"
822,"Southeast Michigan Surgical Hospital","MI"
823,"Patewood Memorial Hospital","SC"
824,"Arbour - Fuller Hospital","MA"
825,"Clay County Hospital","IL"
826,"Provident Hospital of Cook County","IL"
827,"SSM Rehabilitation Hospital at St. Mary's Health Center","MO"
828,"Pomona Valley Hospital Medical Center","CA"
829,"Morgan Memorial Hospital","GA"
830,"Valir Rehabilitation Hospital","OK"
831,"Orange City Hospital","IA"
832,"Langlade Memorial Hospital","WI"
833,"Williamsburg Regional Hospital","SC"
834,"Ohio Valley General Hospital","PA"
835,"Horizon Specialty Hospital - Las Vegas","NV"
836,"Sharp Memorial Hospital","CA"
837,"Select Specialty Hospital - Quad Cities","IA"
838,"South Hampton Community Hospital Dallas","TX"
839,"Nemaha County Hospital","NE"
840,"Keokuk Area Hospital","IA"
841,"The Moses H. Cone Memorial Hospital","NC"
842,"East Liverpool City Hospital","OH"
843,"Community Care Hospital","LA"
844,"Hill Regional Hospital","TX"
845,"Sanpete Valley Hospital","UT"
846,"Devereux Florida Intensive Residential Treatment/Specialty Hospital","FL"
847,"Select Specialty Hospital - Panama City","FL"
848,"Hillsboro Community Hospital","KS"
849,"First Street Hospital","TX"
850,"Putnam General Hospital","GA"
851,"Moab Regional Hospital","UT"
852,"Holton Community Hospital","KS"
853,"Jewell County Hospital","KS"
854,"Landmark Hospital of Cape Girardeau","MO"
855,"Fort Hamilton Hospital","OH"
856,"Ka'u Hospital","HI"
857,"Charles A. Cannon, Jr. Memorial Hospital","NC"
858,"Southampton Hospital","NY"
859,"Community Memorial Hospital","NY"
860,"McBride Clinic Orthopedic Hospital","OK"
861,"Saint Catherine Regional Hospital","IN"
862,"Clark Fork Valley Hospital","MT"
863,"Waldo County General Hospital","ME"
864,"Pushmataha Hospital","OK"
865,"Blue Ridge Regional Hospital","NC"
866,"Thomas Hospital","AL"
867,"Northwest Hill Surgical Hospital","TX"
868,"Rehabilitation Hospital of the Cape and Islands","MA"
869,"Brooks Memorial Hospital","NY"
870,"Logansport State Hospital","IN"
871,"HealthSouth Rehabilitation Hospital of Wichita Falls","TX"
872,"Ed Fraser Memorial Hospital","FL"
873,"Nicholas County Hospital","KY"
874,"Franklin Hospital","NY"
875,"Centegra Hospital - McHenry","IL"
876,"Iredell Memorial Hospital","NC"
877,"Hancock County Hospital","TN"
878,"Hospital Psiquiatrico Metropolitano","PR"
879,"Fannin Regional Hospital","GA"
880,"Select Specialty Hospital - Johnstown","PA"
881,"Adventist GlenOaks Hospital","IL"
882,"Trillium Specialty Hospital-East Valley","AZ"
883,"Mildred Mitchell-Bateman Hospital","WV"
884,"Madison Memorial Hospital","ID"
885,"Pender Memorial Hospital","NC"
886,"Acuity Specialty Hospital Ohio Valley at Steubenville","OH"
887,"Riverside Hospital","LA"
888,"Vista Hospital of South Bay Tri-City Campus","CA"
889,"Gettysburg Hospital","PA"
890,"Fawcett Memorial Hospital","FL"
891,"Sullivan County Memorial Hospital","MO"
892,"Summit Oaks Hospital","NJ"
893,"A.O. Fox Hospital","NY"
894,"Morrison Community Hospital","IL"
895,"Menlo Park Surgical Hospital","CA"
896,"Van Buren County Hospital","IA"
897,";od Samaritan Hospital","MD"
898,"Mary Lanning Memorial Hospital","NE"
899,"Anson General Hospital","TX"
900,"Clinton Memorial Hospital","OH"
901,"Mountain View Hospital","OR"
902,"Marietta Memorial Hospital","OH"
903,"Carroll County Memorial Hospital","MO"
904,"Mason District Hospital","IL"
905,"Ozarks Community Hospital","MO"
906,"Memorial Regional Hospital South","FL"
907,"HealthSouth Rehabilitation Hospital of Tallahassee","FL"
908,"Wyandot Memorial Hospital","OH"
909,"Saline Memorial Hospital","AR"
910,"Baptist Memorial Hospital - Memphis","TN"
911,"Treasure Valley Hospital","ID"
912,"Penobscot Valley Hospital","ME"
913,"Hospital Metropolitano De La Montana","PR"
914,"Phelps Memorial Hospital Center","NY"
915,"DeGraff Memorial Hospital","NY"
916,"Richard H. Young Hospital","NE"
917,"Mee Memorial Hospital","CA"
918,"Avera Sacred Heart Hospital","SD"
919,"Swedish Covenant Hospital","IL"
920,"Saint Joseph's Hospital","IL"
921,"William R Sharpe, Jr Hospital","WV"
922,"Saint Clare's Hospital - Boonton Township","NJ"
923,"West Hills Hospital","NV"
924,"Northshore Specialty Hospital","LA"
925,"Landmark Hospital of Joplin","MO"
926,"Community Hospital","FL"
927,"Prairie View Psychiatric Hospital","KS"
928,"Allegheny General Hospital","PA"
929,"Lourdes Hospital","NY"
930,"Saint Francis Specialty Hospital","LA"
931,"Mercy Hospital","KS"
932,"Syringa General Hospital","ID"
933,"Saint Alexius Hospital - Broadway Campus","MO"
934,"Baton Rouge Rehabilitation Hospital","LA"
935,"Shands Rehab Hospital","FL"
936,";od Samaritan Hospital","OH"
937,"FHN Memorial Hospital","IL"
938,"Homer Memorial Hospital","LA"
939,"Specialists Hospital - Shreveport","LA"
940,"Charleston Area Medical Center Teays Valley Hospital","WV"
941,"Miles Memorial Hospital","ME"
942,"Blue Mountain Hospital","UT"
943,"Rehabilitation Hospital of Fort Wayne","IN"
944,"Kansas Heart Hospital","KS"
945,"Emory Johns Creek Hospital","GA"
946,"Mount Carmel Hospital","WA"
947,"Russell Regional Hospital","KS"
948,"Fairfax Hospital","WA"
949,"Kindred Hospital - Chica; (North Campus)","IL"
950,"Lucile Packard Children's Hospital at Stanford","CA"
951,"Garfield Memorial Hospital","UT"
952,"Kentfield Rehabilitation Hospital","CA"
953,"New York Downtown Hospital","NY"
954,"Heart Hospital of Austin","TX"
955,"Morgan Stanley Children's Hospital","NY"
956,"Salem Community Hospital","OH"
957,"Brooks Rehabilitation Hospital","FL"
958,"West Gables Rehabilitation Hospital","FL"
959,"Parker Indian Hospital","AZ"
960,"Bloomington Meadows Hospital","IN"
961,"Copper Queen Community Hospital","AZ"
962,"Pathway Rehabilitation Hospital","LA"
963,"Providence Hospital","MI"
964,"San Juan Capestrano Hospital","PR"
965,"Robert H. Ballard Rehabilitation Hospital","CA"
966,"Memorial Hospital","KS"
967,"Gunnison Valley Hospital","UT"
968,"HealthSouth Lakeview Rehabilitation Hospital of Central Kentucky","KY"
969,"Susan B. Allen Memorial Hospital","KS"
970,"Saint Luke's Quakertown Hospital","PA"
971,"Sharp Mary Birch Hospital for Women","CA"
972,"Central Peninsula General Hospital","AK"
973,"Saint Mary Mercy Hospital","MI"
974,"Exempla Saint Joseph Hospital","CO"
975,"Evangeline Extended Care Hospital","LA"
976,"Gilbert Hospital","AZ"
977,"Community Hospital","NE"
978,"Portsmouth Regional Hospital","NH"
979,"Mercy Tiffin Hospital","OH"
980,"LDS Hospital","UT"
981,"Big Horn County Memorial Hospital","MT"
982,"Kerrville VA Hospital","TX"
983,"Crawley Memorial Hospital","NC"
984,"West Florida Hospital","FL"
985,"AMG Specialty Hospital","KS"
986,"Smith Northview Hospital","GA"
987,"All Children's Hospital","FL"
988,"Cottage Hospital","NH"
989,"Binghamton General Hospital","NY"
990,"HealthSouth Rehabilitation Hospital of North Houston","TX"
991,"Doctors' Hospital of Slidell","LA"
992,"Waukesha Memorial Hospital","WI"
993,"Galesburg Cottage Hospital","IL"
994,"Peterson Rehabilitation Hospital","WV"
995,"Ephrata Community Hospital","PA"
996,"Glen Cove Hospital","NY"
997,"Kindred Hospital - Delaware County","PA"
998,"Select Specialty Hospital - Tulsa Midtown","OK"
999,"Hemphill County Hospital","TX"
1000,"Providence Memorial Hospital","TX"
1001,"Millcreek Community Hospital","PA"
1002,"Shriners Hospitals for Children - Boston","MA"
1003,"Walter Knox Memorial Hospital","ID"
1004,"Loyola ;ttlieb Memorial Hospital","IL"
1005,"Kindred Hospital - Springfield","IL"
1006,"Memorial Hospital of Tampa","FL"
1007,"Weed Army Community Hospital","CA"
1008,"Cass County Memorial Hospital","IA"
1009,"Indiana University Health Starke Hospital","IN"
1010,"Siloam Springs Memorial Hospital","AR"
1011,"Saint Francis Heart Hospital","OK"
1012,"Memorial Hospital","PA"
1013,"Promise Hospital of Baton Rouge (Main Campus)","LA"
1014,"Georgetown Memorial Hospital","SC"
1015,"Tulane Medical Center - Lakeside Hospital","LA"
1016,"Bell Hospital","MI"
1017,"Soldiers and Sailors Memorial Hospital","PA"
1018,"Saint Mary's Hospital","VA"
1019,"Our Lady of Bellefonte Hospital","KY"
1020,"Community Hospital South","IN"
1021,"Promise Hospital of Louisiana -Shreveport Campus","LA"
1022,"Community Hospital of Oklahoma","OK"
1023,"Kennewick General Hospital","WA"
1024,"Rangely District Hospital","CO"
1025,"Norton Brownsboro Hospital","KY"
1026,"Cimarron Memorial Hospital","OK"
1027,"Methodist Hospital","TX"
1028,"Washington County Memorial Hospital","MO"
1029,"Richards Memorial Hospital","TX"
1030,"RiverValley Behavioral Health Hospital","KY"
1031,"Pinecrest Rehabilitation Hospital","FL"
1032,"Encino Hospital Medical Center","CA"
1033,"DMC Detroit Receiving Hospital","MI"
1034,"Redington-Fairview General Hospital","ME"
1035,"Valley Hospital and Medical Center","WA"
1036,"Vibra Specialty Hospital Portland","OR"
1037,"Great Bend Regional Hospital","KS"
1038,"Rogers City Rehabilitation Hospital","MI"
1039,"Floyd Memorial Hospital and Health Services","IN"
1040,"Select Specialty Hospital - Houston West","TX"
1041,"Boone Memorial Hospital","WV"
1042,"Genoa Community Hospital","NE"
1043,"Montfort Jones Memorial Hospital","MS"
1044,"Saint Anthony Hospital","OK"
1045,"LifeCare Hospitals of Pittsburgh - Alle-Kiski Campus","PA"
1046,"El Camino Hospital Mountain View","CA"
1047,"Sparrow Specialty Hospital","MI"
1048,"Kindred Hospital - Ocala","FL"
1049,"Rollins Brook Community Hospital","TX"
1050,"Lakes Region General Hospital","NH"
1051,"Mendota Community Hospital","IL"
1052,"Tyler County Hospital","TX"
1053,"Cooper University Hospital","NJ"
1054,"Saint John River District Hospital","MI"
1055,"Regional Hospital for Respiratory & Complex Care","WA"
1056,"INTEGRIS Jim Thorpe Rehabilitation Hospital","OK"
1057,"Community General Hospital","TX"
1058,"Mesilla Valley Hospital","NM"
1059,"Specialty Hospital of Winnfield","LA"
1060,"Advocate ;od Shepherd Hospital","IL"
1061,"Elkview General Hospital","OK"
1062,"Brookings Hospital","SD"
1063,"Kenmore Mercy Hospital","NY"
1064,"Saint Michael's Hospital","WI"
1065,"CHRISTUS Dubuis Hospital of Lake Charles","LA"
1066,";lden Valley Memorial Hospital","MO"
1067,"Sistersville General Hospital","WV"
1068,"Oceans Behavioral Hospital Baton Rouge","LA"
1069,"Kindred Hospital - South Philadelphia","PA"
1070,"Nacogdoches Memorial Hospital","TX"
1071,"Coon Memorial Hospital","TX"
1072,"Bear Valley Community Hospital","CA"
1073,"JPS Diagnostic & Surgery Hospital of Arlington","TX"
1074,"Idaho Doctors' Hospital","ID"
1075,"Vegas Valley Rehabilitation Hospital","NV"
1076,"Tahoe Forest Hospital","CA"
1077,"Edgewood Surgical Hospital","PA"
1078,"Harmon Medical and Rehabilitation Hospital","NV"
1079,"Jerold Phelps Community Hospital","CA"
1080,"Florida Hospital Waterman","FL"
1081,"Saint James Mercy Hospital","NY"
1082,"Pecos County Memorial Hospital","TX"
1083,"Presbyterian Orthopaedic Hospital","NC"
1084,"Blackfeet Community Hospital","MT"
1085,"River Oaks Hospital--Child and Adolescent Hospital","LA"
1086,"Advanced Care Hospital of White County","AR"
1087,"Howard University Hospital","DC"
1088,"Children's Hospital of Pittsburgh of University of Pittsburgh Medical Center","PA"
1089,"Lawton Indian Hospital","OK"
1090,"Memorial Hermann Southeast Hospital","TX"
1091,"Kent General Hospital","DE"
1092,"Beacham Memorial Hospital","MS"
1093,"Herington Municipal Hospital","KS"
1094,"Mary Washington Hospital","VA"
1095,"Monrovia Memorial Hospital","CA"
1096,"Temple University Hospital - Episcopal Campus","PA"
1097,"State Hospital South","ID"
1098,"Methodist Sugar Land Hospital","TX"
1099,"Landmann-Jungman Memorial Hospital","SD"
1100,"Woodridge Hospital","TN"
1101,"Sutter Davis Hospital","CA"
1102,"Hazel Hawkins Memorial Hospital","CA"
1103,"Vibra Hospital of San Die;","CA"
1104,"Advocate Trinity Hospital","IL"
1105,"Lewistown Hospital","PA"
1106,"Coler-;ldwater Specialty Hospital & Nursing Facility - ;ldwater Campus","NY"
1107,"Eastern Plumas Hospital","CA"
1108,"Saint Francis Hospital","WV"
1109,"CHRISTUS Saint Catherine Hospital","TX"
1110,"Springfield Hospital","PA"
1111,"HIMA-San Pablo Hospital-Bayamon","PR"
1112,"Saint Luke's Northland Hospital - Smithville Campus","MO"
1113,"Ransom Memorial Hospital","KS"
1114,"Providence Hospital","DC"
1115,"Pioneer Community Hospital of Choctaw","MS"
1116,"Stanton County Hospital","KS"
1117,"Advocate Eureka Hospital","IL"
1118,"Sweetwater Hospital Association","TN"
1119,"Saint Joseph Hospital","IL"
1120,"Warren Memorial Hospital","NE"
1121,"Select Specialty Hospital - North Knoxville","TN"
1122,"Centra Specialty Hospital","VA"
1123,"Ben Taub General Hospital","TX"
1124,"Wood County Hospital","OH"
1125,"Roper Hospital","SC"
1126,"Saint Anne's Hospital","MA"
1127,"Solara Hospital McAllen - Edinburg Campus","TX"
1128,"Prattville Baptist Hospital","AL"
1129,"Phoenix Behavioral Hospital","LA"
1130,"Lincoln County Hospital","KS"
1131,"Northern Inyo Hospital","CA"
1132,"Sharkey-Issaquena Community Hospital","MS"
1133,"Page Memorial Hospital","VA"
1134,"Livingston Hospital and Healthcare Services, Inc.","KY"
1135,"Black River Memorial Hospital","WI"
1136,"MMO Westend Hospital","LA"
1137,"Saint Anthony's Hospital","IL"
1138,"Bethesda Rehabilitation Hospital","LA"
1139,"Schoolcraft Memorial Hospital","MI"
1140,"Regency Hospital of Porter County","IN"
1141,"Tomah Memorial Hospital","WI"
1142,"Select Specialty Hospital - Charleston","WV"
1143,"Children's Hospital Central California","CA"
1144,"Memorial Hospital West","FL"
1145,"Bronx-Lebanon Hospital Center - Fulton Division","NY"
1146,"LV Stabler Memorial Hospital","AL"
1147,"South Peninsula Hospital","AK"
1148,"Oktibbeha County Hospital","MS"
1149,"Providence Behavioral Health Hospital","MA"
1150,"Central Florida Behavioral Hospital","FL"
1151,"Hendricks Community Hospital","MN"
1152,"HealthSouth Rehabilitation Hospital of Humble","TX"
1153,"South County Hospital","RI"
1154,"Henry Ford Macomb Hospitals - Clinton Township","MI"
1155,"Saint Anthony Hospital","IL"
1156,"Mission Trail Baptist Hospital","TX"
1157,"Winona Community Memorial Hospital","MN"
1158,"Albany Area Hospital & Medical Center","MN"
1159,"Saint Joseph Hospital","NH"
1160,"Children's Hospital","MO"
1161,"Methodist Hospital","KY"
1162,"Martin County Hospital","TX"
1163,"Washington County Hospital","KS"
1164,"HealthSouth Rehabilitation Hospital of Austin","TX"
1165,"Coliseum Northside Hospital","GA"
1166,"Raulerson Hospital","FL"
1167,"Nebraska Heart Hospital","NE"
1168,"Rehabilitation Hospital of Wisconsin","WI"
1169,"HealthSouth Rehabilitation Hospital of Miami","FL"
1170,"Kindred Hospital - Chattanooga","TN"
1171,"Battle Mountain General Hospital","NV"
1172,"Kindred Hospital - Milwaukee","WI"
1173,"University Pediatric Hospital","PR"
1174,"Lawrence Memorial Hospital","MA"
1175,"Healthbridge Children's Hospital - Orange","CA"
1176,"Dallas County Hospital","IA"
1177,"Omega Hospital","LA"
1178,"Saint Petersburg General Hospital","FL"
1179,"Dewitt Hospital & Nursing Home","AR"
1180,"Promise Hospital of Louisiana (Bossier City Campus)","LA"
1181,"Select Specialty Hospital - Gainesville","FL"
1182,"Windom Area Hospital","MN"
1183,"Wabash General Hospital","IL"
1184,"Chestnut Hill Hospital","PA"
1185,"Central State Hospital","GA"
1186,"Regional Hospital of Scranton","PA"
1187,"T. J. Samson Community Hospital","KY"
1188,"San Leandro Hospital","CA"
1189,"Tyler Memorial Hospital","PA"
1190,"CHRISTUS Dubuis Hospital of Alexandria","LA"
1191,"Kearney County Hospital","NE"
1192,"Doctor Dan C. Trigg Memorial Hospital","NM"
1193,"Jamaica Hospital Medical Center","NY"
1194,"Patton State Hospital","CA"
1195,"Twin County Regional Hospital","VA"
1196,"Advanced Care Hospital of Montana","MT"
1197,"Southern Indiana Rehab Hospital","IN"
1198,"Mountain View Hospital","AL"
1199,"Sisters of Charity Hospital","NY"
1200,"Two Rivers Psychiatric Hospital","MO"
1201,"Lower Oconee Community Hospital","GA"
1202,"Henrico Doctors' Hospital - Parham Campus","VA"
1203,"Fulton State Hospital","MO"
1204,"HealthSouth Rehabilitation Hospital of Columbia","SC"
1205,"Oak Valley Hospital","CA"
1206,"The ;od Samaritan Hospital","PA"
1207,"Pana Community Hospital","IL"
1208,"Coalinga State Hospital","CA"
1209,"HealthSouth Rehabilitation Hospital of Southern Arizona","AZ"
1210,"Saint Rose Dominican Hospitals - Siena Campus","NV"
1211,"Saint John Hospital and Medical Center","MI"
1212,"Select Specialty Hospital - Memphis","TN"
1213,"Mercy Hospital of Folsom","CA"
1214,"Buffalo Hospital","MN"
1215,"Baptist Memorial Hospital - Huntingdon","TN"
1216,"Culberson Hospital","TX"
1217,"Trillium Specialty Hospital-West Valley","AZ"
1218,"Sayre Memorial Hospital","OK"
1219,"Rady Children's Hospital - San Die;","CA"
1220,"University of Wisconsin Hospital and Clinics","WI"
1221,"Spectrum Health United Memorial - Kelsey Hospital","MI"
1222,"Coteau Des Prairies Hospital & Clinic","SD"
1223,"Grace Hospital","NC"
1224,"Southeast Louisiana Hospital","LA"
1225,"Alexian Brothers Behavioral Health Hospital","IL"
1226,"Atlantic General Hospital","MD"
1227,"Dr. Dominguez Hospital","PR"
1228,"Taylor Regional Hospital","KY"
1229,"Grant Memorial Hospital","WV"
1230,"Oswe; Community Hospital","KS"
1231,"Perry County Memorial Hospital","MO"
1232,"Cumberland Hall Hospital","KY"
1233,"Memorial Hospital of Gardena","CA"
1234,"South Nassau Communities Hospital","NY"
1235,"Arizona State Hospital","AZ"
1236,"Immanuel Saint Joseph's Hospital","MN"
1237,"Holy Cross Hospital","AZ"
1238,"Hopkins County Memorial Hospital","TX"
1239,"Baraga County Memorial Hospital","MI"
1240,"Benson Hospital","AZ"
1241,"FirstHealth Richmond Memorial Hospital","NC"
1242,"Trigg County Hospital","KY"
1243,"Boone County Hospital","IA"
1244,"Holy Redeemer Hospital and Medical Center","PA"
1245,"Saint Luke's-Roosevelt Hospital Center - Saint Luke's Hospital","NY"
1246,"Specialty Hospital of Albuquerque","NM"
1247,"CHRISTUS Dubuis Hospital of Houston","TX"
1248,"Beartooth Hospital and Health Center","MT"
1249,"Milford Memorial Hospital","DE"
1250,"Marion General Hospital","IN"
1251,"P & S Surgical Hospital","LA"
1252,"Leake Memorial Hospital","MS"
1253,"Prentice Women's Hospital","IL"
1254,"Whitman Hospital and Medical Center","WA"
1255,"Cornerstone Regional Hospital","TX"
1256,"Parkview Whitley Hospital","IN"
1257,"Madera Community Hospital","CA"
1258,"Holly Hill Hospital","NC"
1259,"Peyton Manning Children's Hospital","IN"
1260,"Maryvale Hospital Medical Center","AZ"
1261,"Saint Mary's Hospital","WI"
1262,"Norton Sound Regional Hospital","AK"
1263,"Eastern Long Island Hospital","NY"
1264,"Saint Luke's Cornwall Hospital - Newburgh Campus","NY"
1265,"University of Louisville Hospital","KY"
1266,"Acuity Specialty Hospital Ohio Valley at Belmont","OH"
1267,"CHRISTUS Santa Rosa Children's Hospital","TX"
1268,"Tyler ContinueCARE Hospital","TX"
1269,"Euclid Hospital","OH"
1270,"Cornerstone Hospital of Bossier City","LA"
1271,"Nocona General Hospital","TX"
1272,"Whittier Rehabilitation Hospital - Bradford","MA"
1273,"Community Behavioral Health Hospital of Rochester","MN"
1274,"East Los Angeles Doctors Hospital","CA"
1275,"Fairmont General Hospital","WV"
1276,"Memorial Hospital Los Banos","CA"
1277,"Watsonville Community Hospital","CA"
1278,"Northern Colorado Long Term Acute Hospital","CO"
1279,"Salem Hospital","OR"
1280,"Sierra Surgery Hospital","NV"
1281,"Memorial Hospital","IL"
